Q,Te,Eh,GNP,Area,PD,B,L,R,T,I,Qs,Glacial,Lith,Connection,C_W_Length,Structure,Slope,W_Depth,Process,Structure_,MainClass,Shelf,Sinuosity,MarginType,Slope_W,ID,Fan_Area,Fan_Width,Fan_Depth,Fan_Volume,Fan_Length,OID_,River_Name,Alt_Name,Area_1,Q_1,PD_Q,Runoff,TSS,PD_TSS,SedYield,ASedConc,TDS,PD_TDS,DisYield,DisConc,Max_Elev,mm_yr_km,E_Length,S_Dist,Sed_Thick,Sed_Basin,River_S,C_Slope_S,C_Shelf_S,C_Class,C_TopH,C_LowH,C_Length,C_MaxH,C_Freq,C_Distance,C_ID,F_Depth,F_Length,F_Width,F_ID,F_Area,Slope_LowH,Slope_TopH,F_Sum,BoW,R2,PD_Qs,S_Basin_ID,10m_km,SP,Shelf_LowH,F_Age,F_S
9.802877439,1,1,3754.757865,33227.4165,70.7429,1,1,2.204,-3.4527,1,1.0071,1,1,787,545986.88,Foreland,1.023083946,-133,TW,Foreland,Snow,2,1.003440022,Active,8340.84,787,0,0,0,0,0,625,Tumenjiang,,33000,1.4,-9999,42.42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1045.91451,2593.387289,8232.020643,1434,0.47642,4.03673,146.98759,46.52564,2,-271,-2519,18.75831,2248,2,7584.72362,534,0,0,0,0,0,-2077,-851,0,Japan Sea,2.269,0.97827,1416,6.5991,206877.2422,-383,0,0
0.866420166,1,1,-99,1601.2727,1.9595,1.5,1.5,1.626,18.0328,1,1.0126,1,1.5,11008,71957.27,Strike-Slip,-9999,-9999,,Strike-Slip,,5,1.021559954,Active,-9999,11008,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,85.17288,-9999,-9999,-9999,7.10183,22.59674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.63,1.01008,829,14.40359,34157.35571,0,0,0
1.102612261,1,1,60979,2164.3781,0.5688,1.5,1.5,0.895,26.2332,1,1.0133,1,1.5,11656,117203.81,Passive Margin,0.020842212,-6,WT,Passive Margin,Equatorial,3,1.352460027,Passive,21548.22,11656,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1063.66351,19895.96852,101907.0364,861,36.09756,7.63627,31.04665,1.02054,0,0,0,0,0,0,0,0,0,0,0,0,0,-773,-104,0,Coral Sea,0.895,1.01329,91,41.50529,63320.76683,-104,0,0
1.08217158,1,2,1488,2114.3397,200.7517,1.5,0.75,0.984,24.3545,1,1.0163,1,0.75,7352,93003.72,,0.192048773,-30,WF,Passive Margin,Equatorial,3,1.052829981,Passive,30612.03,7352,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4398.56755,17643.77924,137145.3173,1042,0,10.58022,38.71027,1.99788,2,-70,-2518,105.09882,2448,1,139319.9836,1265,0,0,0,0,0,-1459,-274,0,Arabian Sea,0.984,0.50817,0,22.31565,65081.96243,-274,0,0
5.255819203,1,1,5444,15244.2173,2.9744,2,2,2.0099,-2.8005,1,1.019,1,2,85,333957.9,Foreland,-9999,-9999,,Foreland,,5,1.042639971,Active,-9999,85,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,304.18092,-9999,-9999,-9999,25.98804,6.01842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.056,0.99618,964,15.3996,77487.55711,0,0,0
0.333084898,1,1,48165.36613,484.7282,0,14.0062,2,3.8556,-11.7534,7.0031,1.0195,7.00309031,2,301934,76335.22,,0.394120364,-86,W,Intracratonic,Snow,1,1.27895999,Active,32263.45,301934,0,0,0,0,0,0,Stikine,,0,0,0,0,0,0,0,0,0,0,0,0,0,3666.18447,1685.393472,56005.95229,1962,0,50.5088,80.64854,7.35636,1,-95,-1752,126.12026,1657,2,41177.63563,1093,-3316,352000,910000,71,66704.61575,-2933,-331,2348831,Gulf of Alaska,3.874,0.14489,0,1.32394,67581.4524,-412,19.37645,1.088068182
1.191542853,1,1,12589.49555,2384.7436,29.5263,1.5,1.5,1.1601,18.5045,1,1.0201,1,1.5,11000,116848.18,,0.054625831,-13,WF,Passive Margin,Warm Temperate,3,1.163689971,Passive,112343.99,11000,0,0,0,0,0,0,Jacuí,,0,0,0,0,0,0,0,0,0,0,0,0,0,2163.03212,13857.87172,120402.1316,6033,0,9.92827,16.01332,1.90196,0,0,0,0,0,0,0,0,-4775,765000,880000,7,222927.7798,-2059,-260,14153953,South Atlantic Ocean,1.188,0.99616,0,6.85716,79527.14877,-229,115.46041,3.550326797
3.345207974,1,1,20540,8666.2959,2.1028,1.5,1.5,0.408,20.0855,1,1.0203,1,1.5,7625,268897.33,Intracratonic,-9999,-9999,,Intracratonic,,5,1.309489965,Passive,-9999,7625,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,82.69508,-9999,-9999,-9999,2.95709,1.51731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.417,0.99833,44,90.97438,145061.8172,0,0,0
1.681584219,1,1,12593,3668.199,78.8998,1,1,0.9545,24.8567,1,1.0209,1,1,3463,211331.94,,0.087329148,-14,W,Passive Margin,Equatorial,1,1.021370053,Passive,57847.66,3463,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1564.27119,863.8910711,31240.00554,1388,0,4.51659,53.64089,16.13316,2,-43,-3784,47.90565,3741,1,27350.11688,1396,0,0,0,0,0,-3376,-273,0,South Atlantic Ocean,0.962,1.01291,0,26.24819,137111.1,-504,0,0
1.211006425,1,1,1441.009731,2433.5354,43.6799,2,2,0.7384,21.5498,1,1.022,1,2,16088,112824.96,Intracratonic,0.021406442,-3,T,Passive Margin,Equatorial,3,1.096770048,Passive,21758.39,16088,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3274.70067,36462.87244,77906.08662,2858,4.64035,6.54465,39.93862,1.77136,1,-94,-2017,114.38435,1923,3,99573.34955,1101,0,0,0,0,0,-1037,-168,0,Gulf of Guinea,0.755,0.99956,1717,62.53733,79459.59742,-138,0,0
